name,lat,lon
"  FORTE SO JOO, Brazil","lat=""-20.320574"" lon=""-40.3229""","lat=""-20.320574"" lon=""-40.3229"""
"  FONTE GRANDE, Brazil","lat=""-19.9266737"" lon=""-44.0877118""","lat=""-19.9266737"" lon=""-44.0877118"""
"  ENSEADA DO SU, Brazil","lat=""-20.3194015"" lon=""-40.2960984""","lat=""-20.3194015"" lon=""-40.2960984"""
"  SANTOS REIS, Brazil","lat=""-5.763702"" lon=""-35.2011079""","lat=""-5.763702"" lon=""-35.2011079"""
"  PIEDADE, Brazil","lat=""-23.7144986"" lon=""-47.4260072""","lat=""-23.7144986"" lon=""-47.4260072"""
"  JESUS DE NAZARETH, Brazil","lat=""-20.3188643"" lon=""-40.3024808""","lat=""-20.3188643"" lon=""-40.3024808"""
"  SANTA TEREZA, Brazil","lat=""-22.9191206"" lon=""-43.1907328""","lat=""-22.9191206"" lon=""-43.1907328"""
"  CRUZAMENTO, Brazil","lat=""-20.310337"" lon=""-40.322262""","lat=""-20.310337"" lon=""-40.322262"""
"  ILHA DO PRNCIPE, Brazil","lat=""-20.3226121"" lon=""-40.3509648""","lat=""-20.3226121"" lon=""-40.3509648"""
"  ROMO, Brazil","lat=""-20.3125183"" lon=""-40.3254519""","lat=""-20.3125183"" lon=""-40.3254519"""
"  COMDUSA, Brazil","lat=""-20.2855012"" lon=""-40.3352805""","lat=""-20.2855012"" lon=""-40.3352805"""
"  SANTA CECLIA, Brazil","lat=""-26.9655922"" lon=""-50.4178973""","lat=""-26.9655922"" lon=""-50.4178973"""
"  VILA RUBIM, Brazil","lat=""-20.3197784"" lon=""-40.3468197""","lat=""-20.3197784"" lon=""-40.3468197"""
"  DE LOURDES, Brazil","lat=""-9.5185882"" lon=""-43.0121358""","lat=""-9.5185882"" lon=""-43.0121358"""
"  DO QUADRO, Brazil","lat=""-20.3170592"" lon=""-40.3500083""","lat=""-20.3170592"" lon=""-40.3500083"""
"  DO CABRAL, Brazil","lat=""-20.3155332"" lon=""-40.3477763""","lat=""-20.3155332"" lon=""-40.3477763"""
"  HORTO, Brazil","lat=""-19.909275"" lon=""-43.9180412""","lat=""-19.909275"" lon=""-43.9180412"""
"  SEGURANA DO LAR, Brazil","lat=""-20.263254"" lon=""-40.2964175""","lat=""-20.263254"" lon=""-40.2964175"""
"  ILHA DO BOI, Brazil","lat=""-20.4176812"" lon=""-34.5631088""","lat=""-20.4176812"" lon=""-34.5631088"""
"  FRADINHOS, Brazil","lat=""-20.3069131"" lon=""-40.3280037""","lat=""-20.3069131"" lon=""-40.3280037"""
"  NAZARETH, Brazil","lat=""-20.7820235"" lon=""-49.3632632""","lat=""-20.7820235"" lon=""-49.3632632"""
"  AEROPORTO, Brazil","lat=""-23.430375"" lon=""-46.4729592""","lat=""-23.430375"" lon=""-46.4729592"""
"  PARQUE INDUSTRIAL, Brazil","lat=""-22.9213172"" lon=""-47.0844979""","lat=""-22.9213172"" lon=""-47.0844979"""
